LatinName_Matt,LatinName_Helen,EnglishName
Achalarus casica,Achalarus casica,Desert Cloudywing
Adelpha bredowii,Adelpha bredowii,California Sister
Adopaeoides prittwitzi,Adopaeoides prittwitzi,Sunrise Skipper
Agathymus aryxna,Agathymus aryxna,Arizona Giant-Skipper
Agraulis vanillae,Agraulis vanillae,Gulf Fritillary
Agriades glandon,Agriades glandon,Arctic Blue
Amblyscirtes aenus,Amblyscirtes aenus,Bronze Roadside-Skipper
Amblyscirtes cassus,Amblyscirtes cassus,Cassus Roadside-Skipper
Amblyscirtes elissa,Amblyscirtes elissa,Elissa Roadside-Skipper
Amblyscirtes eos,Amblyscirtes eos,Dotted Roadside-Skipper
Amblyscirtes exoteria,Amblyscirtes exoteria,Large Roadside-Skipper
Amblyscirtes fimbriata,Amblyscirtes fimbriata,Orange-edged Roadside-Skipper
Amblyscirtes nereus,Amblyscirtes nereus,Slaty Roadside-Skipper
Amblyscirtes nysa,Amblyscirtes nysa,Nysa Roadside-Skipper
Amblyscirtes oslari,Amblyscirtes oslari,Oslar's Roadside-Skipper
Amblyscirtes phylace,Amblyscirtes phylace,Orange-headed Roadside-Skipper
Amblyscirtes texanae,Amblyscirtes texanae,Texas Roadside-Skipper
Amblyscirtes tolteca,Amblyscirtes tolteca,Toltec Roadside-Skipper
Anaea aidea,Anaea aidea,Tropical Leafwing
Anaea andria,Anaea andria,Goatweed Leafwing
Ancyloxypha arene,Ancyloxypha arene,Tropical Least Skipper
Anteos clorinde,Anteos clorinde,White Angled-Sulphur
Apodemia hepburni,Apodemia hepburni,Hepburn's Metalmark
Apodemia mormo,Apodemia mormo,Mormon Metalmark
Apodemia nais,Apodemia nais,Nais Metalmark
Apodemia palmeri,Apodemia palmeri,Palmer's Metalmark
Appias drusilla,Appias drusilla,Florida White
Arawacus jada,Arawacus jada,Creamy Stripe-streak
Ascia monuste,Ascia monuste,Great Southern White
Asterocampa celtis,Asterocampa celtis,Hackberry Emperor
Asterocampa clyton,Asterocampa clyton,Tawny Emperor
Asterocampa leilia,Asterocampa leilia,Empress Leilia
Atalopedes campestris,Atalopedes campestris,Sachem
Atlides halesus,Atlides halesus,Great Purple Hairstreak
Atrytonopsis cestus,Atrytonopsis cestus,Cestus Skipper
Atrytonopsis edwardsii,Atrytonopsis edwardsii,Sheep Skipper
Atrytonopsis lunus,Atrytonopsis lunus,Moon-marked Skipper
Atrytonopsis pittacus,Atrytonopsis pittacus,White-barred Skipper
Atrytonopsis python,Atrytonopsis python,Python Skipper
Autochton cellus,Autochton cellus,Golden Banded-Skipper
Battus philenor,Battus philenor,Pipevine Swallowtail
Brephidium exile,Brephidium exile,Western Pygmy-Blue
Cabares potrillo,Cabares potrillo,Potrillo Skipper
Calephelis arizonensis,Calephelis arizonensis,Arizona Metalmark
Calephelis nemesis,Calephelis nemesis,Fatal Metalmark
Callophrys dumetorum,NA,NA
Callophrys gryneus,Callophrys gryneus,Juniper Hairstreak
Callophrys spinetorum,Callophrys spinetorum,Thicket Hairstreak
Callophrys xami,Callophrys xami,Xami Hairstreak
Calpodes ethlius,Calpodes ethlius,Brazilian Skipper
Celastrina ladon,Celastrina ladon,Spring Azure
Celotes nessus,Celotes nessus,Common Streaky-Skipper
Cercyonis meadii,Cercyonis meadii,Mead's Wood-Nymph
Cercyonis oetus,Cercyonis oetus,Small Wood-Nymph
Cercyonis sthenele,Cercyonis sthenele,Great Basin Wood-Nymph
Chioides catillus,Chioides catillus,White-striped Longtail
Chioides zilpa,Chioides zilpa,Zilpa Longtail
Chiomara asychis,Chiomara asychis,White-patched Skipper
Chlosyne acastus,Chlosyne acastus,Sagebrush Checkerspot
Chlosyne californica,Chlosyne californica,California Patch
Chlosyne cyneas,Chlosyne cyneas,Black Checkerspot
Chlosyne fulvia,Chlosyne fulvia,Fulvia Checkerspot
Chlosyne lacinia,Chlosyne lacinia,Bordered Patch
Chlosyne rosita,Chlosyne rosita,Rosita Patch
Chlosyne theona,Chlosyne theona,Theona Checkerspot
Codatractus arizonensis,Codatractus arizonensis,Arizona Skipper
Codatractus mysie,Codatractus mysie,Valeriana Skipper
Coenonympha tullia,Coenonympha tullia,Common Ringlet
Cogia caicus,Cogia caicus,Gold-costa Skipper
Cogia hippalus,Cogia hippalus,Acacia Skipper
Colias cesonia,Colias cesonia,Southern Dogface
Colias eurytheme,Colias eurytheme,Orange Sulphur
Colias philodice,Colias philodice,Clouded Sulphur
Copaeodes aurantiacus,Copaeodes aurantiacus,Orange Skipperling
Cyllopsis pertepida,Cyllopsis pertepida,Canyonland Satyr
Cyllopsis pyracmon,Cyllopsis pyracmon,Nabokov's Satyr
Danaus eresimus,Danaus eresimus,Soldier
Danaus gilippus,Danaus gilippus,Queen
Danaus plexippus,Danaus plexippus,Monarch
Dymasia dymas,Dymasia dymas,Tiny Checkerspot
Electrostrymon mathewi,Electrostrymon mathewi,Mathew's Groundstreak
Emesis ares,Emesis ares,Ares Metalmark
Emesis zela,Emesis zela,Zela Metalmark
Epargyreus clarus,Epargyreus clarus,Silver-spotted Skipper
Erora quaderna,Erora quaderna,Arizona Hairstreak
Erynnis afranius,Erynnis afranius,Afranius Duskywing
Erynnis brizo,Erynnis brizo,Sleepy Duskywing
Erynnis funeralis,Erynnis funeralis,Funereal Duskywing
Erynnis icelus,Erynnis icelus,Dreamy Duskywing
